Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Penalty Kicks Made,0.00,47,2021-2022,2021-2022 Ligue 1,1937.0
Penalty Kicks Attempted,0.00,46,2021-2022,2021-2022 Ligue 1,1937.0
,,,2021-2022,2021-2022 Ligue 1,1937.0
xG: Expected Goals,0.03,12,2021-2022,2021-2022 Ligue 1,1937.0
npxG: Non-Penalty xG,0.03,13,2021-2022,2021-2022 Ligue 1,1937.0
npxG/Shot,0.09,72,2021-2022,2021-2022 Ligue 1,1937.0
Goals - xG,+0.07,83,2021-2022,2021-2022 Ligue 1,1937.0
Non-Penalty Goals - npxG,+0.07,82,2021-2022,2021-2022 Ligue 1,1937.0
Passing,Passing,Passing,2021-2022,2021-2022 Ligue 1,1937.0
Statistic,Per 90,Percentile,2021-2022,2021-2022 Ligue 1,1937.0
Passes Completed,90.93,99,2021-2022,2021-2022 Ligue 1,1937.0
Passes Attempted,99.94,99,2021-2022,2021-2022 Ligue 1,1937.0
